код;позиция;описание;единица;цена_руб
BR-01;Брендирование лаунж-зоны;размещение бренда партнёра в лаунж-зоне клуба;день;350000
BR-02;Демо-зона продукта;выделенная зона для демонстрации продукта партнёра;неделя;600000
BR-03;Нейминг мероприятия (title-партнёрство);мероприятие проходит под именем партнёра;мероприятие;1200000
EV-01;Выступление в амфитеатре;слот 60 минут, техподдержка, анонс участникам;мероприятие;700000
EV-02;Камерный ужин с участниками;организация ужина до 12 персон, подбор гостей по профилю;мероприятие;900000
EV-03;Бизнес-завтрак с модерацией;формат до 20 персон, модератор, анонс;мероприятие;450000
EV-04;Партнёрская зона на флагманском мероприятии;стенд и активация на мероприятии клуба;мероприятие;500000
DG-01;Интеграция в email-рассылку;блок партнёра в регулярной рассылке участникам;выпуск;120000
DG-02;Отдельная email-рассылка;выделенное письмо о партнёре по базе участников;выпуск;250000
DG-03;Публикация в telegram-канале клуба;нативный пост о партнёре или совместном проекте;пост;150000
CO-01;Коллаборация с рестораном;специальное меню или позиция совместно с брендом;месяц;400000
CO-02;Исследование среди участников;опрос аудитории клуба по теме партнёра, отчёт;исследование;300000
CO-03;Продакшн контента;фото- и видеосъёмка мероприятия, права на материалы;мероприятие;200000
AN-01;Годовое партнёрство «Базовое»;4 интеграции на выбор, приоритетный календарь;год;5000000
AN-02;Годовое партнёрство «Расширенное»;8 интеграций, title-статус одного мероприятия, исследование;год;9000000
BR-01;Брендирование лаунж-зоны;размещение бренда партнёра в лаунж-зоне клуба;день;390000
CO-04;Мастер-класс с шефом;совместный мастер-класс с шеф-поваром клуба;мероприятие;0
